n,zero_crossing_start,zero_crossing_end,omega,AoA
0.0,0.004211336,0.083500312,79.2441222494737,0.8270658322939332
0.0,0.004211336,0.083500312,79.2441222494737,2.083400244578155
0.0,0.004211336,0.083500312,79.2441222494737,3.340350225204011
0.0,0.004211336,0.083500312,79.2441222494737,4.59593276925633
0.0,0.004211336,0.083500312,79.2441222494737,5.852040860327409
1.0,0.083500312,0.162726096,79.30732887641209,0.8231256907392334
1.0,0.083500312,0.162726096,79.30732887641209,2.0770646534009125
1.0,0.083500312,0.162726096,79.30732887641209,3.3332921083446485
1.0,0.083500312,0.162726096,79.30732887641209,4.590747240739392
1.0,0.083500312,0.162726096,79.30732887641209,5.849643863143792
